1001,FORM-2025,2025-12-15,1.74,Low,,1.28,48.23,f
1002,FORM-2022,2022-12-15,4.23,High,2024-10-18,3.49,92.65,f
1002,FORM-2023,2023-12-15,3.74,Medium,2024-10-18,4.11,69.24,f
1002,FORM-2024,2024-12-15,3.95,Medium,2024-10-18,3.98,66.57,f
1002,FORM-2025,2025-12-15,3.91,Medium,2024-10-18,4.11,72.46,f
1003,FORM-2022,2022-12-15,3.66,Medium,2019-09-28,3.82,73.33,f
1003,FORM-2023,2023-12-15,3.97,Medium,2019-09-28,4.13,89.09,f
1003,FORM-2024,2024-12-15,3.53,Medium,2019-09-28,3.79,69.74,f
1003,FORM-2025,2025-12-15,3.74,Medium,2019-09-28,3.83,77.45,f
1004,FORM-2022,2022-12-15,4.22,High,2026-01-08,4.14,82.47,f
1004,FORM-2023,2023-12-15,2.95,Medium,2026-01-08,3.01,51.96,f
1004,FORM-2024,2024-12-15,3.46,Medium,2026-01-08,3.36,73.13,f
1004,FORM-2025,2025-12-15,4.14,High,2026-01-08,4.26,81.72,f
1005,FORM-2022,2022-12-15,3.99,Medium,2026-01-08,3.77,89.03,f
1005,FORM-2023,2023-12-15,4.66,High,2026-01-08,4.51,85.75,t
1005,FORM-2024,2024-12-15,3.27,Medium,2026-01-08,3.04,59.81,f
1005,FORM-2025,2025-12-15,4.00,High,2026-01-08,4.05,85.09,f
1006,FORM-2022,2022-12-15,3.94,Medium,2022-08-05,3.99,77.00,f
1006,FORM-2023,2023-12-15,4.63,High,2022-08-05,5.00,87.85,t
1006,FORM-2024,2024-12-15,4.00,High,2022-08-05,3.94,78.42,f
1006,FORM-2025,2025-12-15,3.57,Medium,2022-08-05,3.28,69.76,f
1007,FORM-2022,2022-12-15,3.87,Medium,2026-01-08,4.21,83.07,f
1007,FORM-2023,2023-12-15,3.47,Medium,2026-01-08,3.81,68.93,f
1007,FORM-2024,2024-12-15,3.34,Medium,2026-01-08,3.01,73.92,f
1007,FORM-2025,2025-12-15,3.91,Medium,2026-01-08,3.67,70.66,f
1008,FORM-2022,2022-12-15,4.85,High,2024-05-20,4.91,90.54,t
1008,FORM-2023,2023-12-15,3.70,Medium,2024-05-20,3.84,80.45,f
1008,FORM-2024,2024-12-15,4.25,High,2024-05-20,4.65,89.36,f
1008,FORM-2025,2025-12-15,4.08,High,2024-05-20,4.39,78.60,f
