user_id,pay_date,pay_component,value,currency_code,notes,operation
1001,2024-09-26,SIGNON,6053.56,EUR,Bonus de signature de contrat,ADD
1001,2024-08-23,REFERRAL,2500.0,EUR,Prime de cooptation,ADD
1002,2022-03-15,PERFAWARD,12445.97,EUR,Prime de performance annuelle 2022,ADD
1002,2024-03-15,PERFAWARD,11745.61,EUR,Prime de performance annuelle 2024,ADD
1002,2020-11-02,MILESTONE,5000,EUR,Prime d'ancienneté 5 ans,ADD
1002,2022-08-25,SPOTBONUS,1543.94,EUR,Prime d'excellence,ADD
1003,2024-03-15,PERFAWARD,8674.27,EUR,Prime de performance annuelle 2024,ADD
1003,2018-10-13,MILESTONE,5000,EUR,Prime d'ancienneté 5 ans,ADD
1003,2023-10-13,MILESTONE,10000,EUR,Prime d'ancienneté 10 ans,ADD
1004,2022-03-15,PERFAWARD,10051.49,EUR,Prime de performance annuelle 2022,ADD
1004,2023-03-15,PERFAWARD,9975.29,EUR,Prime de performance annuelle 2023,ADD
1004,2024-03-15,PERFAWARD,8225.4,EUR,Prime de performance annuelle 2024,ADD
1005,2022-03-15,PERFAWARD,9642.36,EUR,Prime de performance annuelle 2022,ADD
1005,2023-03-15,PERFAWARD,9268.7,EUR,Prime de performance annuelle 2023,ADD
1005,2024-03-15,PERFAWARD,10207.04,EUR,Prime de performance annuelle 2024,ADD
1005,2024-03-21,MILESTONE,5000,EUR,Prime d'ancienneté 5 ans,ADD
1006,2022-03-15,PERFAWARD,12842.91,EUR,Prime de performance annuelle 2022,ADD
1006,2023-03-15,PERFAWARD,12440.55,EUR,Prime de performance annuelle 2023,ADD
1006,2024-03-15,PERFAWARD,15368.22,EUR,Prime de performance annuelle 2024,ADD
1006,2018-08-20,MILESTONE,5000,EUR,Prime d'ancienneté 5 ans,ADD
1006,2023-08-20,MILESTONE,10000,EUR,Prime d'ancienneté 10 ans,ADD
1008,2024-03-15,PERFAWARD,16462.06,EUR,Prime de performance annuelle 2024,ADD
1008,2023-01-06,REFERRAL,2500.0,EUR,Prime de cooptation,ADD
1008,2020-06-04,MILESTONE,5000,EUR,Prime d'ancienneté 5 ans,ADD
1009,2022-03-15,PERFAWARD,5547.17,EUR,Prime de performance annuelle 2022,ADD
1009,2023-03-15,PERFAWARD,4916.73,EUR,Prime de performance annuelle 2023,ADD
1009,2024-03-15,PERFAWARD,5298.54,EUR,Prime de performance annuelle 2024,ADD
1009,2021-09-26,RELOCATION,3834.34,EUR,Aide à la mobilité géographique,ADD
1010,2022-03-15,PERFAWARD,5280.45,EUR,Prime de performance annuelle 2022,ADD
1010,2023-03-15,PERFAWARD,4362.26,EUR,Prime de performance annuelle 2023,ADD
1010,2024-03-15,PERFAWARD,4599.55,EUR,Prime de performance annuelle 2024,ADD
1010,2022-07-16,REFERRAL,2500.0,EUR,Prime de cooptation,ADD
1010,2024-09-07,MILESTONE,5000,EUR,Prime d'ancienneté 5 ans,ADD
1010,2024-01-06,SPOTBONUS,1761.66,EUR,Prime d'excellence,ADD
1011,2025-01-12,SIGNON,4321.11,EUR,Bonus de signature de contrat,ADD
1011,2024-11-05,REFERRAL,2500.0,EUR,Prime de cooptation,ADD
1012,2023-03-15,PERFAWARD,44196.71,EUR,Prime de performance annuelle 2023,ADD
1012,2024-03-15,PERFAWARD,50086.36,EUR,Prime de performance annuelle 2024,ADD
1012,2024-03-26,MILESTONE,5000,EUR,Prime d'ancienneté 5 ans,ADD
1013,2022-03-15,PERFAWARD,16124.89,EUR,Prime de performance annuelle 2022,ADD
1013,2023-03-15,PERFAWARD,18186.61,EUR,Prime de performance annuelle 2023,ADD
1013,2024-03-15,PERFAWARD,18838.06,EUR,Prime de performance annuelle 2024,ADD
1013,2019-09-08,MILESTONE,5000,EUR,Prime d'ancienneté 5 ans,ADD
1013,2024-09-08,MILESTONE,10000,EUR,Prime d'ancienneté 10 ans,ADD
1014,2023-03-15,PERFAWARD,10323.16,EUR,Prime de performance annuelle 2023,ADD
